1;Quelle est la nationalité du réalisateur et producteur Steven Spielberg ?;Américaine;Tunisienne;Canadienne;Marocaine;Débutant;Steven Spielberg est né à Cincinnati, dans l'Ohio, le 18 décembre 1946, d'un père informaticien et d'une mère pianiste.;http://fr.wikipedia.org/wiki/Steven_Spielberg
2;Quel film de Spielberg a été le premier véritable blockbuster du cinéma américain ?;Les Dents de la mer;La Couleur pourpre;Jurassic Park;Minority Report;Débutant;Le film Les Dents de la mer est adapté du roman éponyme de Peter Benchley, publié en 1974 aux éditions Doubleday.;http://fr.wikipedia.org/wiki/Les_Dents_de_la_mer
3;Qui est sans conteste le compositeur attitré des films de Steven Spielberg ?;John Williams;James Horner;Giorgio Moroder;John Barry ;Débutant;Avec 49 nominations aux Oscars, Williams est la deuxième personne la plus nommée après Walt Disney.;http://fr.wikipedia.org/wiki/John_Williams_(compositeur)
4;Quelle saga de Spielberg mélange aventures et personnages hauts en couleur ?;Indiana Jones;Jurassic Park;Transformers;Les Dents de la mer;Débutant;Le récit de ses premières aventures mêle fiction et réalité, Indy rencontrant des personnages ayant réellement existé.;http://fr.wikipedia.org/wiki/Indiana_Jones
5;De quelle actrice, présente dans le film E.T., Steven Spielberg est-il le parrain ?;Drew Barrymore;Neve Campbell;Christina Ricci;Téa Leoni;Débutant;Après avoir tourné des films de série B, elle a fait un retour fracassant dans les années 1990 notamment avec Scream.;http://fr.wikipedia.org/wiki/Drew_Barrymore
6;Quel film de dinosaures a rapporté plus de 900 millions de dollars de recette ?;Jurassic Park;Carnosaur;Future War;Raptor;Débutant;La sortie du premier film s'est accompagnée d'un véritable travail de préparation à long terme pour intéresser le public.;http://fr.wikipedia.org/wiki/Jurassic_Park
7;Quel soldat faut-il sauver dans un film réalisé par Steven Spielberg ?;Soldat Ryan;Soldat Garner;Soldat Adams;Soldat Moore;Débutant;La reconstitution très réaliste du débarquement de Normandie est l'un des points forts du film.;http://fr.wikipedia.org/wiki/Il_faut_sauver_le_soldat_Ryan
8;Quel film représente le plus grand succès commercial de la carrière de Steven Spielberg ?;Jurassic Park;Hook;Empire du soleil;Amistad;Débutant;Deux ans après sa ressortie en 3D, le film a fait partie de la sélection Cannes Classics lors du Festival de Cannes 2015.;http://fr.wikipedia.org/wiki/Jurassic_Park
9;Quel film de Steven Spielberg est en fait une adaptation de Peter Pan ?;Hook;Amistad;Sugarland Express;Munich;Débutant;Le scénario montre un Peter Pan adulte, devenu un avocat d'affaires marié et père de deux enfants.;http://fr.wikipedia.org/wiki/Hook_ou_la_Revanche_du_capitaine_Crochet
10;Un projet converti en film, raconté sur fond de Shoah, a pour titre La Liste de...;Schindler;Hermann;Brecht;Dickmann;Débutant;Oskar Schindler a réussi à sauver environ 1 100 Juifs promis à la mort dans le camp de concentration de Plaszow.;http://fr.wikipedia.org/wiki/La_Liste_de_Schindler
11;Quel téléfilm est devenu le premier gros succès de Steven Spielberg auprès du grand public ?;Duel;1941;Amistad;Munich;Confirmé;Duel met en scène un représentant en informatique, interprété par Dennis Weaver, dont la vie est menacée par un camion poids lourd.;http://fr.wikipedia.org/wiki/Duel_(téléfilm)
12;Avec qui Steven Spielberg est-il associé dans la réalisation de la saga Indiana Jones ?;George Lucas;Ridley Scott;Ron Howard;James Cameron;Confirmé;Par l'intermédiaire de sa société Lucasfilm, George Lucas produit des fictions et des documentaires pour le cinéma.;http://fr.wikipedia.org/wiki/George_Lucas
13;Dans quel film un jeune Anglais est-il pris dans la tourmente de la Seconde Guerre mondiale ?;Empire du soleil;La Couleur pourpre;Minority Report;Le Terminal;Confirmé;Le film Empire du soleil est pour Christian Bale, qui interprète le héros, son premier rôle au cinéma.;http://fr.wikipedia.org/wiki/Empire_du_soleil
14;Quel film raconte la vie d'une famille noire aux États-Unis du début à la moitié du XXème siècle ?;La Couleur pourpre;Empire du soleil;Le Livre témoin;Sugarland Express;Confirmé;Aux Oscars, le film La Couleur pourpre a été nominé dans toutes les catégories à l'exception de meilleur réalisateur.;http://fr.wikipedia.org/wiki/La_Couleur_pourpre_(film)
15;Quel film a rassemblé sur les écrans Morgan Freeman et Anthony Hopkins ?;Amistad;Minority Report;Indiana Jones;Lincoln;Confirmé;Le film est inspiré de faits authentiques, une mutinerie d'un groupe d'esclaves africains transportés à bord de La Amistad en 1839.;http://fr.wikipedia.org/wiki/Amistad
16;Dans quel film de Steven Spielberg un policier est-il piégé par un trinôme de devins ?;Minority Report;Hook;Amistad;Sugarland Express;Confirmé;Le film Minority Report, lui-même adaptation de la nouvelle éponyme, a connu deux adaptations sous forme de jeu vidéo.;http://fr.wikipedia.org/wiki/Minority_Report
17;Quel film réalisé par Steven Spielberg se déroule presque exclusivement dans un aéroport ?;Le Terminal;Empire du soleil;Minority Report;La Couleur pourpre;Confirmé;Le rôle de Lucy, la jeune fille que Viktor aide à fermer sa valise, est interprété par Sasha Spielberg, la fille du cinéaste.;http://fr.wikipedia.org/wiki/Le_Terminal
18;Quelle saga de Michael Bay a été produite par Steven Spielberg ?;Transformers;Armageddon;The Island;Bad Boys;Confirmé;C'est Lorenzo Di Bonaventura qui conseilla Shia LaBeouf à Michael Bay après avoir travaillé avec lui dans Constantine.;http://fr.wikipedia.org/wiki/Transformers_(film)
