1;Quelle protégée de Lil Wayne est réputée pour ses folies capillaires ?;Nicki Minaj;Foxy Brown;Lil' Kim;Amber Rose;Débutant;Sur les tapis rouges, les photographes ont immortalisé Nicki avec des coiffures improbables, dont ses fameuses choucroutes.;http://fr.wikipedia.org/wiki/Nicki_Minaj
2;Quelle star de la chanson a déclaré souffrir de fibromyalgie ?;Lady Gaga;Tina Turner;Beyoncé;Céline Dion;Débutant;La fibromyalgie est une maladie qui se caractérise par un état douloureux, musculaire, évoluant de façon chronique.;http://fr.wikipedia.org/wiki/Lady_Gaga
3;Qui a avoué pleurer 4 fois par jours à cause de la fatigue due à ses jumeaux ?;George Clooney;Morgan Freeman;Tim Robbins;Javier Bardem;Débutant;George Clooney a attendu 56 ans pour devenir un papa comblé, vouant un amour infini à sa femme , à Alexander et à Ella.;http://fr.wikipedia.org/wiki/George_Clooney
4;Qui a été cambriolée pour un butin estimé à plus de 1,5 millions d'euros ?;Ayem Nour;Caroline Receveur;Claudia Romani;Marie Sebag;Débutant;Bijoux et sacs de luxe ont été dérobés le 13 septembre au domicile d'Ayem Nour dans le 16e arrondissement de Paris.;http://fr.wikipedia.org/wiki/Ayem_Nour
5;Quelle chanteuse a dévoilé un tatouage à l'intérieur de la lèvre inférieure ?;Shy'm;Alizée;Amel Bent;Lorie;Débutant;Il s'agit d'une inscription : les mots « Je t'aime », savamment placés et visiblement destinés à sa moitié Benoît Paire.;http://fr.wikipedia.org/wiki/Shy'm
6;Qui a remplacé cet été William Leymergie à la tête de Télématin ?;Laurent Bignolas;Louis Laforge;Stéphane Lippert;Samuel Étienne;Débutant;Désormais aux commandes de l'émission matinale de France 2, le journaliste a dû se faire accepter par l'équipe déjà en place.;http://fr.wikipedia.org/wiki/Laurent_Bignolas
7;Quelle actrice et mannequin a officialisé son divorce avec Philippe Lellouche ?;Vanessa Demouy;Linda Hardy;Laetitia Casta;Ophélie Winter;Débutant;Séparés depuis un an, Philippe Lellouche et Vanessa Demouy ont tenu à officialiser leur divorce afin de préserver leurs enfants.;http://fr.wikipedia.org/wiki/Vanessa_Demouy
8;Quel artiste français est « passé au streaming » pour ses 40 ans de carrière ?;Francis Cabrel;Louis Chedid;Charles Aznavour;Jean-Louis Murat;Débutant;Un événement pour Spotify, Apple Music et Deezer et une véritable révolution pour l'auteur de Petite Marie.;http://fr.wikipedia.org/wiki/Francis_Cabrel
9;Quelle star de Game of Thrones née brune est passé au blond ?;Emilia Clarke;Lena Headey;Sophie Turner;Maisie Williams;Débutant;Emilia Clarke a décidé de se rapprocher un peu plus du légendaire personnage de Daenerys Targaryen qu'elle incarne.;http://fr.wikipedia.org/wiki/Emilia_Clarke
10;Comment Brahim Zaibat a-t-il évité un cambriolage à son domicile ?;En hurlant;En pleurant;En courant;En dansant;Débutant;Visiblement très convaincant, Brahim Zaibat a réussi à faire décamper ceux qui tentaient de s'introduire chez lui.;http://fr.wikipedia.org/wiki/Brahim_Zaibat
11;Quel ancien animateur télé fait partie des sinistrés de l'ouragan Irma ?;Stéphane Collaro;Frédéric Mitterrand;Pascal Sevran;Michel Polac;Confirmé;L'ancien animateur Stéphane Collaro possédait une somptueuse villa ainsi que des hôtels sur l'île Saint-Martin.;http://fr.wikipedia.org/wiki/Stéphane_Collaro
