1;fr;Quelle substance utilise-t-on souvent pour faire rapidement fondre la neige sur les routes ?;Sel;Sucre;Poivre;Farine;Débutant;En France, les routes sont classées en quatre niveaux de priorité, les routes de niveau 1 étant traitées 24h sur 24 si nécessaire.;https://fr.wikipedia.org/wiki/Neige
2;fr;Quelle jeune artiste a chanté Jour de neige à la télévision en 1988 ?;Elsa;Jakie Quartz;Lio;Patricia Kaas;Débutant;Les producteurs ont accompagné le single de ce titre le plus rythmé de l'album de versions clubs destinées aux discothèques.;https://fr.wikipedia.org/wiki/Jour_de_neige_(chanson)
3;fr;Quel engin hivernal est principalement utilisé pour dégager la neige de nos chaussées ?;Chasse-neige;Niveleuse;Épandeuse;Autoneige;Débutant;Un dispositif de salage peut se trouver à l'arrière ou sur le côté gauche du chasse-neige afin d'éviter la formation de glace.;https://fr.wikipedia.org/wiki/Chasse-neige
4;fr;Comment s'appelle la meilleure amie de Sébastien à la télévision ?;Belle;Sidonie;Prunelle;Aglaé;Débutant;Ce feuilleton écrit et réalisé par Cécile Aubry fut diffusé à partir du 26 septembre 1965 sur la première chaîne de l'ORTF.;https://fr.wikipedia.org/wiki/Belle_et_Sébastien_(série_télévisée)
5;fr;Qui a écrit le roman français La neige en deuil proposé à de nombreux étudiants ?;Henri Troyat;Bernard Clavel;Jean Vautrin;Jean-Paul Sartre;Débutant;Cette fiction (et le film) s'inspire d'un événement réel : l'accident du Malabar Princess sur les flancs du Mont-Blanc en 1950.;https://fr.wikipedia.org/wiki/La_Neige_en_deuil
6;fr;Quel chien d'attelage originaire de Sibérie possède souvent des yeux bleus ?;Husky;Barzoï;Lévrier;Épagneul;Débutant;Le husky de Sibérie, puissant, rapide et endurant, est doté d'une musculature ferme et bien développée sans poids superflu.;https://fr.wikipedia.org/wiki/Husky_de_Sibérie
7;fr;Quel général africain traversa les Alpes avec des éléphants ?;Hannibal;Hasdrubal;Didon;Hannon;Débutant;La plupart des 27 éléphants d'Hannibal moururent en réalité dans la traversée des Alpes ou dans l'humidité des marais étrusques.;https://fr.wikipedia.org/wiki/Hannibal_Barca
8;fr;En Europe, quelle est la première fleur qui pousse généralement à la fin de l'hiver ?;Crocus;Acacia;Dahlia;Ficus;Débutant;Avec sa grande fleur mauve, le Crocus sativus, dont on extrait le safran, a lui besoin de beaucoup de chaleur pour bien fleurir.;https://fr.wikipedia.org/wiki/Crocus
9;fr;Quel équipement est obligatoire pour prendre le départ d'une compétition de descente en ski ?;Casque;Genouillères;Brassard;Lunettes;Débutant;La descente est la plus vieille discipline sportive du ski alpin, aujourd'hui surnommée la discipline reine de sa catégorie.;https://fr.wikipedia.org/wiki/Descente_(ski_alpin)
10;fr;Quelle station Blanche Neige aurait-elle probablement fort apprécié ?;Les Sept Laux;Méaudre;Autrans;Chamrousse;Débutant;Les Sept Laux est un groupe de trois stations de sport d'hiver des Alpes situé à 35 km environ de Grenoble et 50 km de Chambéry.;https://fr.wikipedia.org/wiki/Les_Sept_Laux
11;fr;Quelle est la forme initiale du prisme du cristal de glace ?;Hexagonale;Sphérique;Cubique;Linéaire;Confirmé;Le cristal de glace résulte de la cristallisation progressive de la vapeur d'eau contenue dans l'air sans passer par la phase liquide.;https://fr.wikipedia.org/wiki/Cristal_de_glace
