1;fr;Quel est le prénom du chanteur pop-rock français De Palmas ?;Gérald;Gérard;Jérôme;Jérémy;Débutant;Gérald Gardrinier, né à La Réunion, a choisi pour nom de scène celui de sa grand-mère maternelle, Roxane de Palmas.;https://fr.wikipedia.org/wiki/Gérald_de_Palmas
2;fr;Quel est le prénom du père de l'acteur canado-britannique Kiefer Sutherland ?;Donald;Mickey;Pluto;Popeye;Débutant;Donald Sutherland a tenu son premier rôle au cinéma en 1964 dans un film d'horreur italien, « Il castello dei morti vivi ».;https://fr.wikipedia.org/wiki/Donald_Sutherland
3;fr;Quel prénom se partagent les acteurs canadiens Gosling et Reynolds ?;Ryan;Brian;Alan;Evan;Débutant;Depuis septembre 2011, Ryan Gosling vit avec l'actrice Eva Mendes, avec laquelle il a eu deux filles, Esmeralda et Amada.;https://fr.wikipedia.org/wiki/Ryan_Gosling
4;fr;Quel est le prénom du célèbre joueur de football portugais Ronaldo ?;Cristiano;Antonio;Benito;Joao;Débutant;Considéré comme l'un des meilleurs joueurs du monde, Ronaldo a remporté le Ballon d'or en 2008, 2013, 2014, 2016 et 2017.;https://fr.wikipedia.org/wiki/Cristiano_Ronaldo
5;fr;Quel est le prénom du père de la famille Simpson, sur nos écrans depuis 1989 ?;Homer;Bart;Abraham;Herbert;Débutant;Homer est apparu pour la première fois à la télévision avec sa famille dans le court métrage « Good Night », le 19 avril 1987.;https://fr.wikipedia.org/wiki/Homer_Simpson
6;fr;Comment se prénomme l'heureux propriétaire des crevettes Bubba Gump ?;Forrest;Dan;Benjamin;Winston;Débutant;Pourtant simple d'esprit, l'histoire de Forrest Gump se confond avec celle des États-Unis des années 1950 aux années 1980.;https://fr.wikipedia.org/wiki/Forrest_Gump_(personnage)
7;fr;Quel personnage féminin est présent dans « Notre-Dame de Paris » ?;Esmeralda;Samantha;Antoniona;Cassandra;Débutant;Danseuse gitane, âgée de 16 ans, Esmeralda se trémousse dans les rues de Paris et fait exécuter des tours à sa chèvre Djali.;https://fr.wikipedia.org/wiki/La_Esmeralda_(personnage)
8;fr;Comment se prénomme le héros des films de la saga « Mission Impossible » ?;Ethan;Luther;Jim;Owen;Débutant;Ethan Matthew Hunt est le personnage principal de la série de films « Mission Impossible ». Il est interprété par l'acteur Tom Cruise.;https://fr.wikipedia.org/wiki/Ethan_Hunt
9;fr;Quel tueur solitaire a été incarné au cinéma par Jean Reno ?;Léon;Gaston;Odilon;Simon;Débutant;Sixième long métrage réalisé par Besson, « Léon » retrace la vie d'un tueur à gages du même nom, vivant en solitaire à New York.;https://fr.wikipedia.org/wiki/Léon_(film)
10;fr;Qui est la compagne de Thelma dans un film de Ridley Scott ?;Louise;Geena;Susan;Bethy;Débutant;« Thelma et Louise » est un film américain réalisé par Ridley Scott en 1991 qui a reçu l'Oscar du meilleur scénario.;https://fr.wikipedia.org/wiki/Thelma_et_Louise
11;fr;Quel était le prénom de Vivaldi, compositeur de génie de la période baroque ?;Antonio;Rodrigo;Amerigo;Lissandro;Confirmé;Les quatre concertos connus sous le titre « Les Quatre Saisons » comptent parmi les plus populaires du répertoire classique.;https://fr.wikipedia.org/wiki/Vivaldi
