1;fr;Dans quelle émission Mike Horn a-t-il accompagné une célébrité en pleine nature ?;À l'état sauvage;Pékin Express;Nouvelle Star;X Factor;Débutant;Il s'agit de l'adaptation française de l'émission américaine Running Wild with Bear Grylls, diffusée sur NBC depuis 2014.;https://fr.wikipedia.org/wiki/À_l'état_sauvage
2;fr;Comment se prénommait la femme de Mike Horn, rencontrée en 1990 ?;Cathy;Marie;Sophie;Sandra;Débutant;Originaire de Nouvelle-Zélande, infirmière de formation, Cathy a rencontré son futur époux dans un café de Château-d'Œx, en 1990.;https://fr.wikipedia.org/wiki/Mike_Horn
3;fr;Quel nom Mike Horn a-t-il donné à son tour du monde par l'équateur ?;Latitude Zero;Ground Zero;Cap Zero;Land Zero;Débutant;Sur une idée de Mick Régnier, Mike Horn va parcourir plus de 40 000 km de juin 1999 à octobre 2000 sans moyen de transport motorisé.;https://fr.wikipedia.org/wiki/Mike_Horn
4;fr;Dans quelle expédition Mike Horn a-t-il fait le tour du monde par le cercle polaire ?;Arktos;Free to Run;Fabuloso;Taris;Débutant;Lors d'une expédition préliminaire pour atteindre le pôle Nord, Mike Horn fut contraint à l'abandon pour cause de gelures aux mains.;https://fr.wikipedia.org/wiki/Arktos:_Le_voyage_intérieur_de_Mike_Horn
5;fr;Avec quelle célébrité Mike Horn a-t-il parcouru la jungle du Sri Lanka ?;M. Pokora;Michaël Youn;Shy'm;Laure Manaudou;Débutant;Pendant quatre jours, ils ont dû chasser, pêcher et construire des abris de fortune pour pallier l'absence de toute vie humaine.;https://fr.wikipedia.org/wiki/À_l'état_sauvage
6;fr;Quelle docu-aventure est présentée par Mike Horn sur M6 depuis 2015 ?;The Island;Dropped;Pékin Express;Koh-Lanta;Débutant;Un groupe d'individus doit tenter de survivre sans aide extérieure sur une île déserte pendant 28 jours avec une seule règle: survivre.;https://fr.wikipedia.org/wiki/The_Island_(émission_de_télévision)
7;fr;Combien d'années a duré l'expédition Pangaea menée par Mike Horn ?;4 ans;3 ans;2 ans;5 ans;Débutant;De 2008 à 2012, l'expédition Pangaea a fait le tour du monde avec une centaine de jeunes de 15 à 20 ans qui se sont succédés.;https://fr.wikipedia.org/wiki/Mike_Horn
8;fr;Avec quelle célébrité Mike Horn a-t-il traversé le désert de Namibie ?;Michaël Youn;M. Pokora;Laure Manaudou;Shy'm;Débutant;C'est le 28 juin 2016 que l'émission tournée dans la région du Kaokoland a été vue par trois millions de téléspectateurs sur M6.;https://fr.wikipedia.org/wiki/À_l'état_sauvage
9;fr;Combien de numéro d'À l'état sauvage Mike Horn a-t-il tourné avant de décider d'arrêter ?;Huit;Six;Quatre;Dix;Débutant;Michaël Youn, M.Pokora, Laure Manaudou, Ch. Dechavanne, Shy'm, Adriana Karembeu, Black M et Franck Gastambide seront choisis.;https://fr.wikipedia.org/wiki/À_l'état_sauvage
10;fr;Quand il n'est pas en expédition, dans quel pays réside l'explorateur Mike Horn ?;Suisse;France;Canada;Inde;Débutant;Mike Horn, de son vrai nom Michael Frédérick Horn, est né le 16 juillet 1966 à Johannesbourg, en Afrique du Sud.;https://fr.wikipedia.org/wiki/Mike_Horn
11;fr;Laquelle de ces activités Mike Horn n'a-t-il pas exercé ?;Pianiste;Bûcheron;Barman;Vendangeur;Confirmé;Arrivé en Suisse en 1990 par le vol Johannesburg-Zurich, les premiers temps furent difficiles et il survit de petits boulots.;https://fr.wikipedia.org/wiki/Mike_Horn
12;fr;Comment se prénomme la première fille de l'explorateur Mike Horn ?;Annika;Jessica;Francesca;Tatiana;Confirmé;Jessica, la seconde fille de Mike et Cathy (qui succombera à un cancer du sein en 2015), verra le jour l'année suivante.;https://fr.wikipedia.org/wiki/Mike_Horn
13;fr;Dans quel pays Mike Horn a-t-il commencé ses aventures en 1991 ?;Pérou;Colombie;Bolivie;Brésil;Confirmé;Son premier contact avec l'aventure a lieu en 1991 dans les Andes péruviennes en raft et parapente. Dès lors, le virus est en lui.;https://fr.wikipedia.org/wiki/Mike_Horn
14;fr;En combien de jours Mike Horn a-t-il traversé le Groenland ?;15 jours;30 jours;45 jours;60 jours;Confirmé;L'expédition de 808 jours a donné lieu à un film, Arktos : Le voyage intérieur de Mike Horn, réalisé et produit par Raphaël Blanc.;https://fr.wikipedia.org/wiki/Mike_Horn
15;fr;Quel bateau à voile de 35m en aluminium Mike Horn a-t-il fait construire ?;Pangaea;Arktos;Namib;Makalu;Confirmé;Construit au Brésil, Mike Horn fera avec le Pangaea un tour du monde par les cinq continents sans moyen de transport motorisé.;https://fr.wikipedia.org/wiki/Mike_Horn
16;fr;Quel désert Mike Horn a-t-il décidé d'explorer en 2016 ?;Namib;Gobero;Kaouar;Nubie;Confirmé;Le 8 mai 2016, il commence son expédition Pole2Pole au départ de Monaco. Une fois arrivé à bon port, il explorera le Namib.;https://fr.wikipedia.org/wiki/Désert_du_Namib
17;fr;En combien de jours Mike Horn a-t-il traversé l'Antarctique en solitaire ?;57 jours;47 jours;37 jours;67 jours;Confirmé;C'est sans moteur et en solitaire que Mike Horn a parcouru près de 5100 kilomètres pour traverser intégralement l'Antarctique.;https://fr.wikipedia.org/wiki/Mike_Horn
18;fr;Quelle île du Grand Nord canadien Mike Horn a-t-il traversé avec sa famille ?;Bylot;Hans;Cameron;Matty;Confirmé;Depuis 1925, le Canada a revendiqué la partie de l'Arctique entre 60° O et 141° O de longitude, s'étendant jusqu'au au pôle Nord.;https://fr.wikipedia.org/wiki/Nord_canadien
19;fr;Comment est aussi appelé le Gasherbrum I gravi par Mike Horn en 2007 ?;K5;K6;K7;K2;Confirmé;Le Gasherbrum I, aussi appelé K5 ou Hidden Peak (car extrêmement éloigné), est le onzième plus haut sommet du monde.;https://fr.wikipedia.org/wiki/Gasherbrum_I
20;fr;Qui a réalisé Four Eight Thousands sur l'expédition himalayenne de Mike Horn ?;David Ribeiro;Raphaël Blanc;Drew Brees;Jean Buhler;Confirmé;Ce film, réalisé par David Ribeiro (connu entre autre pour le film La cité rose), a été produit par On Air Productions.;https://fr.wikipedia.org/wiki/Mike_Horn
21;fr;Quand Mike Horn a-t-il reçu le Laureus Award du meilleur sportif alternatif de l'année ?;2001;2003;2005;2007;Expert;Seul durant 18 mois, Mike Horn va connaître toutes sortes de péripéties avec Latitude Zéros, son tour du monde par l'équateur.;https://fr.wikipedia.org/wiki/Laureus_World_Sports_Awards
22;fr;Quel sommet de l'Himalaya Mike Horn a-t-il atteint en 2014 ?;Makalu;Manaslu;Annapurna;K2;Expert;Le Makalu est un sommet de l'Himalaya culminant à 8 485 mètres d'altitude, à la frontière entre le Tibet, la Chine et le Népal.;https://fr.wikipedia.org/wiki/Makalu
23;fr;Dans quel sport le père de Mike Horn a-t-il fait carrière ?;Rugby;Football;Tennis;Golf;Expert;Après avoir enseigné le sport et fait carrière en rugby, son père est décédé à quarante-deux ans lorsque Mike en avait dix-huit.;https://fr.wikipedia.org/wiki/Mike_Horn
24;fr;Quel était le grade de Mike Horn dans les forces spéciales sud-africaines ?;Lieutenant;Capitaine;Sergent;Général;Expert;De retour à la vie civile, il obtient un diplôme dans le domaine de la Science du mouvement humain à l'Université de Stellenbosch.;https://fr.wikipedia.org/wiki/Mike_Horn
25;fr;Dans quel pays Mike Horn a-t-il créé le No Limits Outdoor Activity Center ?;Suisse;Canada;Finlande;Norvège;Expert;Au même moment (1995), Mike Horn est devenu un expert pour la formation des guides de haute montagne suisses.;https://fr.wikipedia.org/wiki/Mike_Horn
26;fr;Sur quel monocoque Mike Horn a-t-il battu un record du monde de traversée ?;Mari Cha III;Paul-Ricard;Shamrock;Rainbow;Expert;Mike Horn a rejoint l'équipage du monocoque de 45 mètres en 1997, qui a battu le record du monde de la traversée de l'Atlantique.;https://fr.wikipedia.org/wiki/Mike_Horn
27;fr;Dans quel projet Mike Horn a-t-il combattu les stéréotypes associés aux requins ?;Shark Project;Apex;Charc;Ailerons;Expert;Ce programme a aussi pour objectif de sensibiliser la population aux problèmes que rencontrent les océans sur toute la planète.;https://fr.wikipedia.org/wiki/Mike_Horn
28;fr;Avec quel explorateur norvégien Mike Horn est-il parti au Pole Nord en 2006 ?;Borge Ousland;Olav Bjaaland;Gunnar Horn;Otto Sverdrup;Expert;Le 23 mars 2006, Borge Ousland et Mike Horn deviennent les premières personnes à atteindre le pôle Nord durant la nuit polaire.;https://fr.wikipedia.org/wiki/Borge_Ousland
29;fr;Quel profond canyon du Pérou Mike Horn a-t-il descendu en hydrospeed ?;Colca;Apurimac;Cotahuasi;Manseriche;Expert;Au fond du canyon (plus de 1 000 mètres de dénivelé avec Cabanaconde), le village de Sangalle sert de refuge aux trekkeurs.;https://fr.wikipedia.org/wiki/Canyon_de_Colca
30;fr;Dans quel livre Mike Horn a-t-il dit : Chacun crée les conditions de sa propre liberté ?;Libre !;Objectif Pole Nord;Grand Nord;Latitude zéro;Expert;Depuis plus de trente ans, il délivre des messages humanistes dans lesquels il montre toute la force de ses valeurs et de son mental.;https://fr.wikipedia.org/wiki/Mike_Horn
