1;fr;Combien de départements compte la Bretagne, à l'extrémité ouest de la France ?;Quatre;Trois;Deux;Cinq;Débutant;La Bretagne est située entre la Manche au nord, la mer Celtique à l'ouest et le golfe de Gascogne au sud.;https://fr.wikipedia.org/wiki/Bretagne
2;fr;Comment dit-on Bretagne en breton, langue parlée par 200 000 personnes en Bretagne ?;Breizh;Kerne;Gomz;Fenoz;Débutant;La pratique traditionnelle du breton est majoritairement concentrée dans l'ouest de la péninsule.;https://fr.wikipedia.org/wiki/Breton
3;fr;Quelle ville bretonne est connue pour ses alignements de plusieurs milliers de menhirs ?;Carnac;Brest;Rumengol;Lorient;Débutant;Ce site mégalithique exceptionnel est constitué d'alignements de menhirs, de dolmens et d'allées couvertes.;https://fr.wikipedia.org/wiki/Alignements_de_Carnac
4;fr;Quelle ville bretonne a pour habitants les briochins et les briochines ?;Saint-Brieuc;Brest;Bruz;Betton;Débutant;Préfecture des Côtes-d'Armor, Saint-Brieuc en est également la ville la plus peuplée.;https://fr.wikipedia.org/wiki/Saint-Brieuc
5;fr;Quel symbole celtique à trois branches est devenu très populaire en Bretagne ?;Triskèle;Flèche;Chardon;Sablier;Débutant;Le triskèle est considéré comme une caractéristique importante de l'art celtique à l'époque de la Tène.;https://fr.wikipedia.org/wiki/Triskèle
6;fr;Quels genres de musique sont célébrés tous les ans à Lorient ?;Celtiques;Classiques;Religieuses;Cubaines;Débutant;Le Festival interceltique de Lorient trouve son origine dans l'accueil en 1971 d'une compétition de bagadou.;https://fr.wikipedia.org/wiki/Festival_interceltique_de_Lorient
7;fr;Quelle course à la voile est très souvent associée au port de Saint-Malo ?;Route du Rhum;Spi Dauphine;Transat anglaise;Vendée Globe;Débutant;Le record de la traversée est détenu depuis 2014 par Loïck Peyron sur le Maxi Solo BP VII.;https://fr.wikipedia.org/wiki/Route_du_Rhum
8;fr;Quelle est la préfecture du Finistère, département situé en région Bretagne ?;Quimper;Brest;Vannes;Nantes;Débutant;Le Finistère fut créé en 1790 à l'instar de la majorité des départements français.;https://fr.wikipedia.org/wiki/Finistère
9;fr;Combien peut-on compter de bandes noires et blanches sur le drapeau breton ?;Neuf;Sept;Cinq;Trois;Débutant;Un canton supérieur (côté mât) de couleur blanche est quant à lui parsemé d'une multitude de mouchetures d'hermine.;https://fr.wikipedia.org/wiki/Drapeau_de_la_Bretagne
10;fr;À partir de quelle substance est réalisé le chouchen, proche de l'hydromel ?;Miel;Lait;Foie gras;Sirop de menthe;Débutant;Le chouchen se fabriquait autrefois plus particulièrement à partir de miel de sarrasin, jadis très présent en Bretagne.;https://fr.wikipedia.org/wiki/Chouchen
11;fr;En Haute-Bretagne, que désigne le gallo, faisant l'objet d'études universitaires ?;Une langue;Un dessert;Un symbole;Un oiseau;Confirmé;Contrairement au breton, le gallo ne bénéficie pas d'une longue tradition de défense et de protection.;https://fr.wikipedia.org/wiki/Gallo
12;fr;Quel festival a lieu tous les ans sur la commune de Carhaix-Plouguer, dans le Finistère ?;Vieilles charrues;Europavox;Musicalarue;Rocklang;Confirmé;Ce festival annuel dure quatre jours et débute à la mi-juillet dans la commune de Carhaix-Plouguer.;https://fr.wikipedia.org/wiki/Festival_des_Vieilles_Charrues
13;fr;Dans quel département français se dresse le phare de l'Île Vierge ?;Finistère;Morbihan;Côtes-d'Armor;Île et Vilaine;Confirmé;Ce phare fait l'objet d'un classement au titre des monuments historiques depuis le 23 mai 2011.;https://fr.wikipedia.org/wiki/Phare_de_l'Île_Vierge
14;fr;Quelle ville est la capitale traditionnelle de la Cornouaille ?;Quimper;Lorient;Morlaix;Saint-Malo;Confirmé;Selon une étude réalisée en 2005, Quimper se classait en 22ème position des villes françaises où il faisait bon vivre.;https://fr.wikipedia.org/wiki/Quimper
15;fr;Dans quelle ville de Bretagne est situé le deuxième port militaire français ?;Brest;Vannes;Nantes;Quimper;Confirmé;L'arsenal de Brest est un ensemble d'installations militaires et navales situé dans la rivière Penfeld, à Brest, dans le Finistère.;https://fr.wikipedia.org/wiki/Arsenal_de_Brest
16;fr;Dans quelle ville de Bretagne peut-on admirer la cathédrale Saint-Pierre-et-Saint-Paul ?;Nantes;Lorient;Brest;Saint-Brieuc;Confirmé;On peut y admirer le tombeau et les gisants du duc François II de Bretagne et de son épouse Marguerite de Foix.;https://fr.wikipedia.org/wiki/Cathédrale_Saint-Pierre-et-Saint-Paul_de_Nantes
17;fr;Quel était l'ancien nom du département des Côtes-d'Armor ?;Côtes-du-Nord;Côtes franches;Côtes ciselées;Côtes du Roi;Confirmé;Les Côtes-d'Armor sont limitrophes du Finistère à l'ouest, du Morbihan au sud et de l'Ille-et-Vilaine à l'est.;https://fr.wikipedia.org/wiki/Côtes-d'Armor
