1;Quel plombier de jeu vidéo, vêtu de rouge, est également la mascotte de Nintendo ?;Mario;Luigi;Peach;Wario;Débutant;Mario est facilement reconnaissable à sa moustache, sa salopette, ses gants blancs et sa casquette rouge marquée d'un M.;http://fr.wikipedia.org/wiki/Mario_(personnage)
2;Sur quelle console de chez Nintendo sont sortis les deux premiers jeux Pokémon ?;Game Boy;Super Nintendo;Nintendo DS;Game Cube;Débutant;Le joueur contrôle le personnage principal via une vue aérienne et le dirige dans l'ensemble de la région fictive de Kanto.;http://fr.wikipedia.org/wiki/Pokémon_Rouge_et_Bleu
3;Lequel de ces personnages de jeu ne fait pas partie de l'univers de Mario ?;Mylord;Luigi;Peach;Wario;Débutant;La série Mario est la plus vendue de l'histoire du jeu vidéo, avec plus de 195 millions d'exemplaires écoulés.;http://fr.wikipedia.org/wiki/Mario_(personnage)
4;Quel jeu vidéo de sport développé et édité par Nintendo était offert pour l'achat d'une Wii ?;Wii Sports;Wii Mix;Wii Games;Wii Play;Débutant;Le jeu a été inclus dans un paquetage promotionnel avec la Wii sur tous les territoires, excepté au Japon et en Corée du Sud.;http://fr.wikipedia.org/wiki/Wii_Sports
5;Quel personnage fictif de jeu vidéo représente la fidèle monture de Mario ?;Yoshi;Birbo;Kirby;Peach;Débutant;Yoshi a fait sa première apparition (dans un jeu) dans le niveau 1-2 de Super Mario World sur Super Nintendo, sorti en 1990 au Japon.;http://fr.wikipedia.org/wiki/Yoshi
6;Quel gorille costaud fut un des premiers personnages célèbres de la marque Nintendo ?;Donkey Kong;Abu;King Kong;Mookie;Débutant;Créé par Shigeru Miyamoto, ce gorille est à l'origine l'ennemi de Jumpman, son maître, dont il a enlevé la fiancée.;http://fr.wikipedia.org/wiki/Donkey_Kong_(personnage)
7;Que signifie le sigle « DS » de la Nintendo DS, console portable sortie en 2005 en Europe ?;Dual Screen;Data Super;Direct Shot;Detect System;Débutant;La Nintendo DS est devenue la console la plus vendue de tous les temps au cours du mois de décembre 2012.;http://fr.wikipedia.org/wiki/Nintendo_DS
8;Parmi ces « catégories » de Game Boy, laquelle ne pourrez-vous jamais trouver en magasin ?;Printer;Color;Advance;Pocket;Débutant;Malgré la sortie de consoles portables technologiquement plus avancées, la Game Boy a véritablement connu un franc succès.;http://fr.wikipedia.org/wiki/Game_Boy
9;Quel accessoire prévu pour être connecté à la console Wii est associé au jeu Wii Fit ?;Wii Balance Board;Wii Shot;Wii Zapper;Wii Gun;Débutant;La Wii Balance Board est un accessoire en forme de pèse-personne électronique conçu pour les consoles de jeu Wii et Wii U.;http://fr.wikipedia.org/wiki/Wii_Balance_Board
10;Dans l'univers Nintendo, quel habitant de Dream Land est représenté par une petite boule rose ?;Kirby;Pinky;Dadidou;Yoshi;Débutant;La particularité de Kirby est qu'il peut aspirer tout ce qu'il voit, que ce soit des objets ou des ennemis.;http://fr.wikipedia.org/wiki/Kirby_(personnage)
