1;fr;Naturalisée américaine, dans quel pays est née l'actrice Charlize Theron ?;Afrique du Sud;Australie;Irlande;Soudan;Débutant;Charlize Theron a débuté sa carrière d'actrice aux États-Unis et est devenue une vedette internationale dans les années 1990.;https://fr.wikipedia.org/wiki/Charlize_Theron
2;fr;Avec quel film Charlize Theron a-t-elle remporté un Oscar de la meilleure actrice ?;« Monster »;« Sleepwalking »;« Hancock »;« Young Adult »;Débutant;« Monster », premier long métrage réalisé par Patty Jenkins en 2003, relate de façon romancée la vie d'Aileen Wuornos.;https://fr.wikipedia.org/wiki/Monster_(film,_2003)
3;fr;Laquelle de ces profession Charlize Theron n'a-t-elle jamais exercé ?;Avocate;Actrice;Productrice;Mannequin;Débutant;Charlize a grandi en milieu rural dans la ferme de ses parents, par ailleurs propriétaires d'une entreprise de construction routière.;https://fr.wikipedia.org/wiki/Charlize_Theron
4;fr;De qui Charlize Theron joue-t-elle une épouse schizophrène dans « L'Associé du diable » ?;Keanu Reeves;Joaquin Phoenix;Javier Bardem;Christoph Waltz;Débutant;Le titre du film est une référence aux avocats du diable dont l'origine remonte aux procès en canonisation de l'église catholique.;https://fr.wikipedia.org/wiki/L'Associé_du_diable
5;fr;Avec quel membre de sa famille a-t-elle toujours noué une relation fusionnelle ?;Sa mère;Son père;Son frère;Sa soeur;Débutant;Sa mère Gerda l'a continuellement encouragé a poursuivre une carrière de danseuse, puis de mannequin et enfin d'actrice.;https://fr.wikipedia.org/wiki/Charlize_Theron
6;fr;Dans quel film Charlize Theron a-t-elle habité le rôle d'Aileen Wuornos ?;« Monster »;« Tully »;« Gringo »;« Young Adult »;Débutant;Elle a étudié un documentaire de Nick Broomfield sur cette tueuse en série et passé du temps avec une des amies de Wuornos.;https://fr.wikipedia.org/wiki/Monster_(film,_2003)
7;fr;Quel film avec Charlize Theron est basé sur une série télévisée d'animation ?;« Aeon Flux »;« La Route »;« Mauvais Piège »;« The Yards »;Débutant;L'actrice Michelle Rodriguez avait été retenue pour jouer le personnage principal, suite à son association dans « Girlfight ».;https://fr.wikipedia.org/wiki/Æon_Flux_(film)
8;fr;De quel magazine Charlize Theron a-t-elle fait la une en juin 1999 ?;Playboy;Vanity Fair;Maxim;FHM;Débutant;En 2010, le magazine FHM classe Charlize comme étant la 56e plus belle femme au monde et 16e dans la liste du magazine Maxim.;https://fr.wikipedia.org/wiki/Charlize_Theron
9;fr;Dans quelle préquelle du classique « Alien » Charlize Theron a-t-elle joué ?;« Prometheus »;« Requiem »;« Predator »;« Covenant »;Débutant;Les arrière-plans extérieurs d'une grande partie du film « Prometheus » ont été filmés dans le Wadi Rum, en Jordanie.;https://fr.wikipedia.org/wiki/Prometheus_(film)
10;fr;Dans quel film Charlize Theron joue-t-elle une mère débordée et épuisée par sa maternité ?;« Tully »;« Atomic Blonde »;« The Last Face »;« Monster »;Débutant;Le film « Tully » marque ses retrouvailles avec le réalisateur Jason Reitman et la scénariste Diablo Cody, sept ans après « Young Adult ».;https://fr.wikipedia.org/wiki/Tully_(film,_2018)
11;fr;Pour faire face à quelle infection virale Charlize Theron a-t-elle créé une fondation ?;Sida;Grippe;Zona;Variole;Confirmé;Fondatrice du Charlize Theron Africa Outreach Project, l'actrice finance régulièrement des programmes de soutien.;https://fr.wikipedia.org/wiki/Syndrome_d'immunodéficience_acquise
