1;fr;Quel club prestigieux et très fermé Kim Kardashian a-t-elle rejoint en avril 2021 ?;Milliardaire;Millionnaire;Centenaire;Grand-mère;Débutant;Grâce à ses investissements et ses marques KKW Beauty et Skims, Kim Kardashian est ainsi entrée dans ce club très fermé.;https://fr.wikipedia.org/wiki/Kim_Kardashian
2;fr;Quel acteur a fait en avril 2021 sa demande en mariage à Laeticia Hallyday ?;Jalil Lespert;Robinson Stévenin;Gaspard Ulliel;Louis Garrel;Débutant;C'est le 11 avril 2021, lors d'une balade sur la plage de Santa Monica avec Jade, que Jalil Lespert a fait sa demande à Laetica.;https://fr.wikipedia.org/wiki/Jalil_Lespert
3;fr;Quelle prétendante a révélé connaître le pot aux roses de Greg le millionnaire ?;Marjolaine;Martika;Marion;Monique;Débutant;La villa appartenait en fait à un ami de Marjolaine Bui, donc elle connaissait la maison et avait même déjà été en vacances là-bas.;https://fr.wikipedia.org/wiki/Marjolaine_Bui
4;fr;Quelle interprète de Bridget Jones a déclaré suivre le régime Ice cube ?;Renée Zellweger;Olivia Colman;Emma Stone;Brie Larson;Débutant;Ce régime se base sur un principe très simple : sucer des glaçons au cours de la journée dès que l'on ressent l'envie de grignoter.;https://fr.wikipedia.org/wiki/Renée_Zellweger
5;fr;Quelle nouvelle destination semble être très prisée des influenceuses en 2021 ?;Dubaï;Los Angeles;Sydney;Tokyo;Débutant;Parmi elles, on peut compter Nabilla Benattia, Jessica Thivenin, Maddy Burciaga, Manon Marsault ou encore Caroline Receveur.;https://fr.wikipedia.org/wiki/Dubaï_(ville)
6;fr;Quel roi du disco s'en est allé en avril 2021 suite à une insuffisance cardiaque ?;Patrick Juvet;Patrick Hernandez;George Benson;Dan Hartman;Débutant;La crémation s'est déroulée en Espagne, dans l'intimité familiale, ce qu'il reste du chanteur fut ensuite rapatrié en Suisse.;https://fr.wikipedia.org/wiki/Patrick_Juvet
7;fr;Quelle star de « Maman, j'ai raté l'avion » est devenu papa pour la première fois ?;Macauley Culkin;Kevin Connolly;Gary Coleman;Francis Carpenter;Débutant;L'enfant star et sa femme Brenda Song, vue notamment dans la franchise Disney « Zack And Cody », sont parents depuis le 5 avril 2021.;https://fr.wikipedia.org/wiki/Macaulay_Culkin
8;fr;Qui a rejoint à nouveau l'ISS le 22 avril 2021 pour en devenir le commandant de bord ?;Thomas Pesquet;Jean-Loup Chrétien;Philippe Perrin;Michel Tognini;Débutant;Moins de cinq ans après son premier voyage dans l'espace, Thomas Pesquet est monté à bord de la capsule Crew-2 Dragon de SpaceX.;https://fr.wikipedia.org/wiki/Thomas_Pesquet
9;fr;Quelle ex de Philippe Katerine et soeur de la chanteuse Lio est devenue grand-mère ?;Helena Noguerra;Virginie Hocq;Virginie Efira;Natacha Régnier;Débutant;Le temps ne semble pas avoir de prise sur Helena Noguerra, maman d'un jeune garçon déjà âgé de 30 ans, Tanel Derard.;https://fr.wikipedia.org/wiki/Helena_Noguerra
10;fr;Qui aurait fêté le 18 avril 2021 ses noces de porcelaine avec Kobe Bryant ?;Vanessa Bryant;Carla Bryant;Patricia Bryant;Joanna Bryant;Débutant;À cette occasion, la veuve du basketteur s'est saisie de sa page Instagram pour publier une photo prise le jour de leurs noces.;https://fr.wikipedia.org/wiki/Kobe_Bryant
11;fr;Quel ancien aventurier de Koh-Lanta a perdu 18 kilos, hospitalisé pour COVID-19 ?;Moundir;Tony;Romuald;François-David;Confirmé;Avec des poumons touchés à 80 %, le protégé de Denis Brogniart a dû passer quatre jours en service de réanimation.;https://fr.wikipedia.org/wiki/Moundir_Zoughari
12;fr;Quel animateur de C8 a révélé devenir grand-père pour la quatrième fois ?;William Leymergie;Cyril Hanouna;Grégory Galiffi;Benjamin Castaldi;Confirmé;William Leymergie pourra donc biberonner le bébé suite à l'heureux évènement qu'attend sa fille Anna, aujourd'hui âgée de 30 ans.;https://fr.wikipedia.org/wiki/William_Leymergie
13;fr;Quelle ministre française a comme objectif de créer des quartiers sans relous ?;Marlène Schiappa;Laura Flessel;Sylvie Goulard;Agnès Buzyn;Confirmé;La mise en place d'un baromètre aura pour but de mesurer l'ampleur du harcèlement de rue, et ainsi d'identifier les zones rouges.;https://fr.wikipedia.org/wiki/Marlène_Schiappa
14;fr;Quelle chef a dévoilé sa collection de photos pour les 12 ans de sa fille Quiterie ?;Hélène Darroze;Ghislaine Arabian;Anne-Sophie Pic;Flora Le Pape;Confirmé;Hélène Darroze s'est fait connaître du grand public grâce à l'émission « Top Chef » à laquelle elle participe en tant que jury depuis 2015.;https://fr.wikipedia.org/wiki/Hélène_Darroze
15;fr;Quelle participante à l'Eurovision 2021 fut par trois fois contrainte d'avorter ?;Barbara Pravi;Lisa Angell;Amandine Bourgeois;Virginie Pouchain;Confirmé;Un médecin émettra l'idée d'une hyperfertilité (non reconnue officiellement par la médecine), sa contraception ne suffisant plus.;https://fr.wikipedia.org/wiki/Barbara_Pravi
16;fr;Quel père de Khalil, Matisse et Marcello incarne le prof Nicolas Valeyre à l'écran ?;JoeyStarr;Benjamin Biolay;Jean-Luc Reichmann;Guillaume Canet;Confirmé;Grâce à ce projet, JoeyStarr a eu l'occasion de travailler avec Barbara Schulz, qu'il dit arrive tous les matins de très bonne humeur.;https://fr.wikipedia.org/wiki/JoeyStarr
17;fr;Qui a fait sa première couverture de magazine, vingt ans après sa mère, Heidi ?;Leni Klum;Alexa Davalos;Camille Grammer;Lauren Bush;Confirmé;Le jeune mannequin en herbe de 16 ans a fait sa première couv' mode, en posant pour la version allemande du magazine « Glamour ».;https://fr.wikipedia.org/wiki/Leni_Klum
