1;fr;Combien vaut un lancer franc au basket-ball, accordé à un joueur victime d'une faute ?;Un point;Trois points;Cinq points;Sept points;Débutant;En cas de faute flagrante, les lancers francs accordés le sont sans joueur au rebond, car la balle est redonné à l'équipe du tireur.;https://fr.wikipedia.org/wiki/Lancer_franc
2;fr;De quel sport la finale est-elle connue aux USA sous le nom de « Super Bowl » ?;Football américain;Basket-ball;Baseball;Football;Débutant;Le Super Bowl est la finale du championnat de football américain qui voit s'affronter les vainqueurs des deux conférences.;https://fr.wikipedia.org/wiki/Super_Bowl
3;fr;En tennis, combien de sets maximum peut-il y avoir dans un match de Coupe Davis ?;Cinq;Quatre;Trois;Sept;Débutant;La Coupe Davis est la plus prestigieuse des compétitions internationales annuelles de tennis masculin par équipes.;https://fr.wikipedia.org/wiki/Coupe_Davis
4;fr;Quel nom porte la version « soft » du baseball aux États-Unis, aussi appelé « balle-molle » ?;Softball;Netball;Korfball;Handball;Débutant;Tout comme le baseball, le softball est pratiqué par les deux sexes de façon amateur ou compétitive.;https://fr.wikipedia.org/wiki/Softball
5;fr;Au rugby à XV, combien de points vaut un essai permettant de tenter une transformation ?;Cinq;Trois;Deux;Quatre;Débutant;Au rugby, un essai est l'action de jeu consistant à aplatir le ballon dans l'en-but adverse.;https://fr.wikipedia.org/wiki/Essai_(rugby_à_XV)
6;fr;Laquelle de ces propositions représente le point commun entre le football et le cricket ?;Onze joueurs;La batte;Le terrain;La balle;Débutant;Plus de cent pays sont affiliés à l'International Cricket Council, qui organise notamment la Coupe du monde de cricket.;https://fr.wikipedia.org/wiki/Cricket
7;fr;Combien de temps a-t-on pour viser avant de lancer un panier au basket-ball ?;30 secondes;20 secondes;10 secondes;45 secondes;Débutant;Le basket-ball se pratique exclusivement à la main, et les joueurs ne peuvent se déplacer balle en main qu'en la dribblant au sol.;https://fr.wikipedia.org/wiki/Basket-ball
8;fr;Dans quel sport Johan Cruijff, dit le « Chevalier Blanc », est-il connu ?;Le football;Le tennis;Le golf;La boxe;Débutant;Premier joueur de football à remporter trois fois le Ballon d'or, il est considéré comme l'un des meilleurs joueurs de l'Histoire.;https://fr.wikipedia.org/wiki/Johan_Cruijff
9;fr;En France, dans quel sport collectif gagne-t-on le Bouclier de Brennus ?;Rugby;Football;Handball;Basket-ball;Débutant;Conçu d'après un dessin initial du baron Pierre de Coubertin, ce trophée doit son nom à son artiste créateur Charles Brennus.;https://fr.wikipedia.org/wiki/Bouclier_de_Brennus
10;fr;Entré aux Jeux olympiques, quel est le sport collectif aquatique « par excellence » ?;Water-polo;Fistball;Ultimate;Roller derby;Débutant;Le water-polo masculin existe depuis 1870 alors que le water-polo féminin n'est apparu qu'au début du XXe siècle.;https://fr.wikipedia.org/wiki/Water-polo
11;fr;Où s'affrontent la plupart du temps les joueurs de kayak-polo ?;En piscine;Sur gazon;En montagne;Sur la neige;Confirmé;Le kayak-polo est souvent décrit comme un mélange de kayak, de handball, basket-ball et de water-polo.;https://fr.wikipedia.org/wiki/Kayak-polo
12;fr;Combien de joueurs compte-t-on dans une équipe de hockey sur gazon ?;Onze;Huit;Six;Cinq;Confirmé;Le hockey sur gazon est le plus ancien jeu de balle avec crosse connu qu'on ait pu trouver parmi les premières civilisations.;https://fr.wikipedia.org/wiki/Hockey_sur_gazon
13;fr;À quel moment une équipe peut-elle marquer un point au volley-ball ?;Après un service;À la mi-temps;En réception;En fin de set;Confirmé;Avec 269 millions de pratiquants, le volley-ball est le sport le plus pratiqué dans le monde.;https://fr.wikipedia.org/wiki/Volley-ball
