1;Quel logiciel de traitement de texte a été mis au point par Microsoft ?;Word;Excel;PowerPoint;Access;Débutant;Microsoft publie plusieurs logiciels de traitement de texte, mais Word en reste la « vedette ».;http://fr.wikipedia.org/wiki/Microsoft_Word
2;Le logiciel Excel extrait de la suite bureautique Microsoft Office est un...;Tableur;Traitement de texte;Navigateur internet;Client de messagerie;Débutant;Excel a été critiqué pour ses problèmes de précision sur calculs à virgule flottante.;http://fr.wikipedia.org/wiki/Microsoft_Excel
3;En informatique, comment appelle-t-on une erreur de programmation encore non localisée ?;Un bug;Un crack;Un spam;Un virus;Débutant;La gravité du dysfonctionnement informatique peut aller de bénigne à majeure.;http://fr.wikipedia.org/wiki/Bug_(informatique)
4;Quelle version de Windows Microsoft a-t-il lancé le vendredi 26 octobre 2012 ?;Windows 8;Windows 7;Windows CE;Windows Mobile;Débutant;La version Windows 8.1 est une mise à jour gratuite de Windows 8 disponible depuis 2013. ;http://fr.wikipedia.org/wiki/Windows_8
5;Comment est communément abrégée la publication assistée par ordinateur ?;PAO;USB;VGA;CIO;Débutant;La PAO consiste à créer des documents imprimés en travaillant la composition et la typographie de documents.;http://fr.wikipedia.org/wiki/Publication_assistée_par_ordinateur
6;Quelle application informatique de la société Apple permet de gérer facilement un iPod ?;iTunes;QuickTime;FileMaker;HyperCard;Débutant;iTunes faisait partie de la suite logicielle d'Apple iLife jusqu'à la version '06.;http://fr.wikipedia.org/wiki/ITunes
7;En informatique, quel logiciel permet de créer des calculs automatiques ?;Un tableur;Un débogueur;Un navigateur;Un explorateur;Débutant;Une feuille de calcul est une table d'informations la plupart du temps financières.;http://fr.wikipedia.org/wiki/Tableur
8;Quel pirate informatique casse les systèmes informatique et les logiciels protégés ?;Un hacker;Un blagueur;Un forceur;Un pirateur;Débutant;Certains utilisent ce savoir-faire dans un cadre légal, d'autres étant hors-la-loi.;http://fr.wikipedia.org/wiki/Hacker_(sécurité_informatique)
9;Quels logiciels installés sur PC, tablette ou smartphone, permettent de « surfer » sur Internet ?;Des navigateurs;Des tableurs;Des éditeurs;Des émulateurs;Débutant;Le premier navigateur stable et largement diffusé fut NCSA Mosaic, en 1993.;http://fr.wikipedia.org/wiki/Navigateur_Web
10;Quel outil développé par le géant Google permet de gérer son emploi du temps ?;Google Agenda;Google TimeLine;Google Tempo;Google Mobile;Débutant;Google Agenda permet de partager des événements et des agendas et de les publier sur internet ou sur un site Web.;http://fr.wikipedia.org/wiki/Google_Agenda
11;Quelle grande société a reçu le feu vert en 2011 pour le rachat de Skype ?;Microsoft;Google;Apple;Facebook;Confirmé;Skype est un logiciel gratuit qui permet de passer des appels téléphoniques et vidéo via Internet, ainsi que le partage d'écran.;http://fr.wikipedia.org/wiki/Skype
