1;fr;Le mot gladiateur vient du latin gladiator, traduisible par quel qualificatif ?;Épéiste;Courageux;Téméraire;Mortel;Débutant;Dans la Rome antique, les gladiateurs étaient des combattants professionnels qui s'affrontaient par paires bien définies.;https://fr.wikipedia.org/wiki/Gladiateur
2;fr;Dans quel vaste édifice public les combats de gladiateurs étaient-ils souvent organisés ?;Amphithéâtre;Opéra;Gallodrome;Forum;Débutant;À la différence des cirques et des théâtres de la Grèce antique, les amphithéâtres sont des monuments nés dans le monde romain.;https://fr.wikipedia.org/wiki/Amphithéâtre_romain
3;fr;Dans quelle ville enfouie de l'Empire romain a-t-on trouvé une caserne des gladiateurs ?;Pompéi;Saint-Pierre;Catane;Goma;Débutant;C'est à partir de la caserne que démarrait la procession des gladiateurs et des animaux qui allaient combattre.;https://fr.wikipedia.org/wiki/Pompéi
4;fr;Quel marchand était également entraîneur et propriétaire de gladiateurs ?;Laniste;Étaleur;Modiste;Gargotier;Débutant;Le célèbre Cnaeus Lentulus Batiatus possédait un ludus à Capoue, d'où s'échappèrent Spartacus et ses compagnons.;https://fr.wikipedia.org/wiki/Laniste
5;fr;Quel laniste était le propriétaire de l'école de gladiateurs de Capoue ?;Batiatus;Caius;Titus;Scarpus;Débutant;L'école de Capoue était composée en majorité de Thraces (dont Spartacus) et de Gaulois (dont Crixus).;https://fr.wikipedia.org/wiki/Cnaeus_Lentulus_Batiatus
6;fr;Qui est probablement le plus populaire des gladiateurs d'origine thrace ?;Spartacus;Ambiorix;Hasdrubal;Jugurtha;Débutant;Spartacus fut le principal chef des révoltés lors de la Troisième Guerre servile en Italie entre 73 et 71 avant Jésus-Christ.;https://fr.wikipedia.org/wiki/Spartacus
7;fr;Comment un gladiateur signale-t-il qu'il ne peut plus poursuivre le combat ?;Il lève le doigt;Il retire son casque;Il hurle;Il jette son épée;Débutant;Si le combat dure trop longtemps, l'éditeur peut exiger que les gladiateurs continuent en se battant alors sans bouclier.;https://fr.wikipedia.org/wiki/Gladiateur
8;fr;Quel tableau de Jean-Léon Gérôme représente une vision romantique de la gladiature ?;« Bas les Pouces »;« La Dance macabre »;« Nominor Leo »;« Corinthe »;Débutant;C'est en voyant une copie de cette peinture exposée aux États-Unis que Ridley Scott envisagea de réaliser un péplum, « Gladiator ».;https://fr.wikipedia.org/wiki/Pollice_verso_(Gérôme)
9;fr;De quelle année avant J.-C. date le plus ancien combat de gladiateurs connu ?;264;148;327;432;Débutant;Ce combat fut rapidement suivi par de nombreux autres et c'est ainsi, en 105 av J.-C., que les jeux devinrent désormais publics.;https://fr.wikipedia.org/wiki/Gladiateur
10;fr;Lequel de ces célèbres gladiateurs gaulois appartenait à Lentulus Batiatus ?;Crixus;Amador;Gannicus;Dessalines;Débutant;Aux côtés de Spartacus, Crixus fut un des chefs de la rébellion d'esclaves qui entraîna la Troisième Guerre servile.;https://fr.wikipedia.org/wiki/Crixos
11;fr;Quelle troisième rébellion d'esclaves fut menée contre la République romaine ?;Guerre de Spartacus;Guerre de Thrace;Guerre d'Hercule;Guerre d'Auguste;Confirmé;Bien que la guerre de Spartacus ne soit pas historiquement notable, ses impacts historiques ont été quant à eux considérables.;https://fr.wikipedia.org/wiki/Troisième_guerre_servile
12;fr;Quel gladiateur combattait avec des équipements qui évoquent un pêcheur ?;Rétiaire;Secutor;Venator;Samnite;Confirmé;L'absence de protection et le recours à des tactiques d'évitement ont fait des rétiaires la tranche la plus basse et méprisée.;https://fr.wikipedia.org/wiki/Rétiaire
13;fr;Quel empereur romain engagea sous son règne pas moins de 10 000 gladiateurs ?;Auguste;Marc Aurèle;Hadrien;Titus;Confirmé;Avec le règne d'Auguste, né Caius Octavius, débuta pour l'Empire une période de stabilité connue sous le nom de « Pax Romana ».;https://fr.wikipedia.org/wiki/Auguste
14;fr;Quelle était la principale caserne de gladiateurs de Rome, à proximité du Colisée ?;Ludus Magnus;Forum Piscarium;Villa Publica;Divorum;Confirmé;Il fut une des quatre casernes construites par Domitien outre le Ludus Gallicus, le Ludus Matutinus et le Ludus Dacicus.;https://fr.wikipedia.org/wiki/Ludus_Magnus
